url,name,role,image,ind,true_count,almost_true_count,misleading_count,no_data_count,false_count,outrageous_count
/profiles/rostam-ghasemi.html,رستم قاسمی,وزیر پیشین نفت,https://factnameh.com/wp-content/uploads/2021/04/Factnameh-Rostam-Ghasemi-225x225.jpg?t=1618935585,144,0,0,1,0,0,0
/profiles/namazi.html,داود نمازی,مشاور وزیر کشور,https://factnameh.com/wp-content/uploads/2018/09/namazi-1-225x242.png?t=1538160286,145,0,0,0,0,1,0
/profiles/hajibabaee.html,حمیدرضا حاجی‌بابایی,نماینده همدان در مجلس,https://factnameh.com/wp-content/uploads/2018/09/Factnameh-hamidreza-hajibabaei-225x225.png?t=1537802018,146,0,0,0,0,1,0
/profiles/hamid-rasaee.html,حمید رسایی,فعال سیاسی اصول‌گرا,https://factnameh.com/wp-content/uploads/2019/10/Factnameh-hamid-rasaei-225x225.png?t=1572017635,147,0,1,0,0,0,0
/profiles/baeidinejad.html,حمید بعیدی‌نژاد,سفیر ایران در بریتانیا,https://factnameh.com/wp-content/uploads/2019/02/Factnameh-hamid-baeidinejad-225x225.png?t=1549048878,148,0,0,0,0,1,0
/profiles/joushghani.html,حسین فلاح جوشقانی,معاون وزیر ارتباطات و فناوری اطلاعات,https://factnameh.com/wp-content/uploads/2018/10/Factnameh-fallah-joshaghani-225x225.png?t=1539886674,149,0,0,1,0,0,0
/profiles/abdoh-tabrizi.html,حسین عبده تبریزی,استاد علوم مالی,https://factnameh.com/wp-content/uploads/2018/03/abdoh-225x225.jpg?t=1537801811,150,0,0,0,0,1,0
/profiles/shariatmadari.html,حسین شریعتمداری,مدیر مسئول روزنامه کیهان,https://factnameh.com/wp-content/uploads/2018/05/Factnameh-hossein-shariatmadari-225x225.png?t=1537801912,151,0,0,1,0,2,1
/profiles/salami.html,حسین سلامی,فرمانده کل سپاه پاسداران انقلاب اسلامی,https://factnameh.com/wp-content/uploads/2019/11/Hossein-Salami-225x223.png?t=1574980818,152,0,0,0,0,0,3
/profiles/hossein-ravazadeh.html,حسین روازاده,مروج طب سنتی,https://factnameh.com/wp-content/uploads/2021/06/Ravazade-225x225.png?t=1622648681,153,0,0,0,0,1,1
/profiles/hossein-kheirandish.html,حسین خیراندیش,مروج طب سنتی,https://factnameh.com/wp-content/uploads/2020/08/Factnameh-Hossein-kheyrandish-225x225.jpg?t=1597262455,154,0,0,0,0,1,1
/profiles/hassan-norouzi.html,حسن نوروزی,نماینده رباط‌کریم در مجلس,https://factnameh.com/wp-content/uploads/2021/08/Factnameh-Profiles-Picture-Hassan-Nouroozi-225x225.png?t=1628793471,155,0,0,0,0,1,0
/profiles/%d8%ad%d8%b3%d9%86-%d9%85%d9%88%d8%b3%d9%88%db%8c-%da%86%d9%84%da%a9.html,حسن موسوی چلک,رییس انجمن مددکاران اجتماعی,https://factnameh.com/wp-content/uploads/2018/05/Hassan-mousavi-1-225x225.png?t=1537801889,156,1,0,0,0,0,0
